"OrderID","IncrementID","OrderTime","SKU","ReturnTime","CustomerID","CustomerIP","Size"
"446813","100401251","2019-07-13 12:08:06 +0200","057175278","","768745","94.16.132.69","400"
"446814","100401252","2019-07-13 12:09:01 +0200","069169121","","","83.76.168.221","400"
"446814","100401252","2019-07-13 12:09:01 +0200","069169121","","","83.76.168.221","410"
"446814","100401252","2019-07-13 12:09:01 +0200","069169225","","","83.76.168.221","410"
"446814","100401252","2019-07-13 12:09:01 +0200","069169225","","","83.76.168.221","400"
"446814","100401252","2019-07-13 12:09:01 +0200","069171335","","","83.76.168.221","410"
"446814","100401252","2019-07-13 12:09:01 +0200","069171335","","","83.76.168.221","400"
"446814","100401252","2019-07-13 12:09:01 +0200","076138445","","","83.76.168.221","410"
"446814","100401252","2019-07-13 12:09:01 +0200","076138445","","","83.76.168.221","420"
"446815","100401254","2019-07-13 12:26:54 +0200","068203898","","194245","178.197.233.48","360"
"446815","100401254","2019-07-13 12:26:54 +0200","068203898","","194245","178.197.233.48","390"
"446816","100401255","2019-07-13 12:27:41 +0200","011175796","","457244","89.248.146.20","380"
"446816","100401255","2019-07-13 12:27:41 +0200","011175991","","457244","89.248.146.20","380"
"446817","100401256","2019-07-13 12:33:10 +0200","058229198","","1031467","188.62.23.7","410"
"446817","100401256","2019-07-13 12:33:10 +0200","058229197","","1031467","188.62.23.7","410"
"446818","300040883","2019-07-13 12:33:30 +0200","084185942","","1142987","188.154.131.128","420"
"446819","100401257","2019-07-13 12:38:17 +0200","024169072","","358739","188.61.206.217","440"
"446819","100401257","2019-07-13 12:38:17 +0200","026128128","","358739","188.61.206.217","440"
"446819","100401257","2019-07-13 12:38:17 +0200","024164521","","358739","188.61.206.217","440"
"446820","100401258","2019-07-13 12:43:01 +0200","166114072","","","217.162.66.172","370"
"446820","100401258","2019-07-13 12:43:01 +0200","065199529","","","217.162.66.172","370"
"446820","100401258","2019-07-13 12:43:01 +0200","148161677","","","217.162.66.172","373"
"446821","100401259","2019-07-13 12:48:44 +0200","068208695","","332891","77.239.46.157","380"
"446821","100401259","2019-07-13 12:48:44 +0200","068208696","","332891","77.239.46.157","370"
"446821","100401259","2019-07-13 12:48:44 +0200","068208696","","332891","77.239.46.157","380"
"446821","100401259","2019-07-13 12:48:44 +0200","068208695","","332891","77.239.46.157","370"
"446822","100401260","2019-07-13 12:52:16 +0200","014169598","","1082136","46.126.25.163","330"
"446823","100401261","2019-07-13 12:58:12 +0200","076140075","","721246","85.1.137.244","380"
"446823","100401261","2019-07-13 12:58:12 +0200","141178822","","721246","85.1.137.244","380"
"446824","100401263","2019-07-13 13:05:52 +0200","060114021","","","31.10.145.183","360"
"446824","100401263","2019-07-13 13:05:52 +0200","088153771","","","31.10.145.183","420"
"446825","100401265","2019-07-13 13:09:23 +0200","048221591","","","178.197.227.111","370"
"446826","100401266","2019-07-13 13:19:17 +0200","148174174","","","80.208.174.29","390"
"446826","100401266","2019-07-13 13:19:17 +0200","148174175","","","80.208.174.29","390"
"446827","100401267","2019-07-13 13:20:09 +0200","170107978","","1141919","176.127.169.235","370"
"446827","100401267","2019-07-13 13:20:09 +0200","169106773","","1141919","176.127.169.235","350"
"446828","100401268","2019-07-13 13:21:26 +0200","169108571","","1141919","176.127.169.235","330"
"446829","100401269","2019-07-13 13:23:02 +0200","065198921","","","31.10.155.81","380"
"446831","100401271","2019-07-13 13:35:10 +0200","142128491","","","212.203.51.3","360"
"446831","100401271","2019-07-13 13:35:10 +0200","053140977","","","212.203.51.3","360"
"446832","300040884","2019-07-13 13:45:59 +0200","058225974","","782598","178.197.235.249","390"
"446832","300040884","2019-07-13 13:45:59 +0200","148175176","","782598","178.197.235.249","390"
"446832","300040884","2019-07-13 13:45:59 +0200","148159121","","782598","178.197.235.249","390"
"446832","300040884","2019-07-13 13:45:59 +0200","148165224","","782598","178.197.235.249","390"
"446833","100401272","2019-07-13 13:46:27 +0200","143116221","","791579","178.197.230.168","380"
"446834","100401273","2019-07-13 13:50:22 +0200","039104342","","446126","188.155.68.208","410"
"446834","100401273","2019-07-13 13:50:22 +0200","077125345","","446126","188.155.68.208","410"
"446834","100401273","2019-07-13 13:50:22 +0200","084185462","","446126","188.155.68.208","410"
"446835","100401274","2019-07-13 13:54:39 +0200","170108078","","642419","84.75.72.237","390"
"446836","100401275","2019-07-13 13:55:52 +0200","048221891","","411912","188.60.238.126","400"
"446836","100401275","2019-07-13 13:55:52 +0200","047207021","","411912","188.60.238.126","400"
"446837","100401276","2019-07-13 13:57:49 +0200","068208296","","353496","194.230.155.200","380"
"446837","100401276","2019-07-13 13:57:49 +0200","068208296","","353496","194.230.155.200","390"
"446838","100401277","2019-07-13 13:57:55 +0200","020171122","","861605","178.197.227.214","430"
"446838","100401277","2019-07-13 13:57:55 +0200","020172621","","861605","178.197.227.214","430"
"446839","100401278","2019-07-13 14:04:31 +0200","055145699","","","178.197.224.214","390"
"446840","100401279","2019-07-13 14:06:00 +0200","168100491","","","176.127.197.22","410"
"446841","100401280","2019-07-13 14:06:35 +0200","174140391","","","85.5.156.8","360"
"446841","100401280","2019-07-13 14:06:35 +0200","174139694","","","85.5.156.8","360"
"446842","100401281","2019-07-13 14:10:11 +0200","048222575","","1084508","62.202.191.81","370"
"446844","100401283","2019-07-13 14:13:45 +0200","065195722","","1143050","151.248.199.83","380"
"446844","100401283","2019-07-13 14:13:45 +0200","042180621","","1143050","151.248.199.83","380"
"446845","100401284","2019-07-13 14:19:52 +0200","162123778","","717709","194.230.118.223","260"
"446845","100401284","2019-07-13 14:19:52 +0200","162123778","","717709","194.230.118.223","280"
"446845","100401284","2019-07-13 14:19:52 +0200","162118778","","717709","194.230.118.223","270"
"446845","100401284","2019-07-13 14:19:52 +0200","001179578","","717709","194.230.118.223","270"
"446846","100401285","2019-07-13 14:21:33 +0200","076139071","","404824","85.6.183.56","370"
"446847","100401286","2019-07-13 14:23:48 +0200","069153278","","840004","178.195.240.29","390"
"446848","100401287","2019-07-13 14:32:47 +0200","118106924","","1138579","83.173.197.197","400"
"446849","100401288","2019-07-13 14:35:49 +0200","055143379","","","84.253.21.57","390"
"446851","100401290","2019-07-13 14:49:38 +0200","166113671","","1143066","178.197.228.41","380"
"446851","100401290","2019-07-13 14:49:38 +0200","166113674","","1143066","178.197.228.41","380"
"446851","100401290","2019-07-13 14:49:38 +0200","166113675","","1143066","178.197.228.41","380"
"446852","100401291","2019-07-13 14:58:48 +0200","014157298","","703366","176.127.224.243","320"
"446853","100401293","2019-07-13 15:17:16 +0200","069165875","","599571","178.193.17.120","390"
"446853","100401293","2019-07-13 15:17:16 +0200","069166429","","599571","178.193.17.120","390"
"446853","100401293","2019-07-13 15:17:16 +0200","069154436","","599571","178.193.17.120","390"
"446854","100401294","2019-07-13 15:23:09 +0200","055134571","","1143078","62.167.82.100","410"
"446854","100401294","2019-07-13 15:23:09 +0200","055132779","","1143078","62.167.82.100","410"
"446855","100401295","2019-07-13 15:31:00 +0200","069167670","","1002249","178.199.50.62","400"
"446855","100401295","2019-07-13 15:31:00 +0200","092129789","","1002249","178.199.50.62","260"
"446856","100401296","2019-07-13 15:44:24 +0200","166111191","","1143081","188.61.157.117","360"
"446857","300040885","2019-07-13 15:47:33 +0200","024167628","","","85.218.100.216","430"
"446858","300040886","2019-07-13 15:50:25 +0200","024167628","","","85.218.100.216","430"
"446859","300040888","2019-07-13 16:15:00 +0200","058221671","","","195.65.154.113","400"
"446859","300040888","2019-07-13 16:15:00 +0200","058219691","","","195.65.154.113","400"
"446860","100401297","2019-07-13 16:33:56 +0200","069165335","","1137442","213.160.36.45","400"
"446861","100401298","2019-07-13 16:36:15 +0200","068204798","","194245","178.197.233.48","390"
"446861","100401298","2019-07-13 16:36:15 +0200","068200297","","194245","178.197.233.48","390"
"446862","100401299","2019-07-13 16:48:58 +0200","011175198","","314962","62.202.191.100","350"
"446862","100401299","2019-07-13 16:48:58 +0200","142123990","","314962","62.202.191.100","380"
"446863","100401300","2019-07-13 16:56:44 +0200","166115676","","600002","31.10.130.215","390"
"446863","100401300","2019-07-13 16:56:44 +0200","166115678","","600002","31.10.130.215","390"
"446864","100401301","2019-07-13 17:26:48 +0200","068204049","","1143085","178.197.233.68","400"
"446865","100401302","2019-07-13 17:28:01 +0200","069143234","","","94.100.154.15","370"
"446866","100401303","2019-07-13 17:33:49 +0200","069168821","","","188.63.252.57","370"
"446867","100401304","2019-07-13 17:35:57 +0200","018169774","","","85.3.43.137","350"
"446868","100401305","2019-07-13 17:47:25 +0200","148194191","","","83.222.156.15","400"
"446869","100401306","2019-07-13 17:48:18 +0200","065198548","","380369","213.55.224.81","390"
"446869","100401306","2019-07-13 17:48:18 +0200","065198546","","380369","213.55.224.81","390"
"446870","100401307","2019-07-13 17:54:53 +0200","084195061","","","89.248.154.100","420"
"446872","100401309","2019-07-13 18:04:04 +0200","055143991","","","85.7.104.36","370"
"446873","100401310","2019-07-13 18:11:08 +0200","084179471","","613992","194.230.76.115","420"
"446873","100401310","2019-07-13 18:11:08 +0200","027177598","","613992","194.230.76.115","420"
"446874","100401311","2019-07-13 18:11:21 +0200","167111678","","1143086","178.38.189.125","390"
"446875","100401312","2019-07-13 18:12:51 +0200","065198346","","380369","213.55.224.81","390"
"446875","100401312","2019-07-13 18:12:51 +0200","072149945","","380369","213.55.224.81","390"
"446876","300040889","2019-07-13 18:31:38 +0200","063145841","","742148","83.77.136.113","360"
"446876","300040889","2019-07-13 18:31:38 +0200","068206096","","742148","83.77.136.113","360"
"446876","300040889","2019-07-13 18:31:38 +0200","038118871","","742148","83.77.136.113","420"
"446877","100401313","2019-07-13 18:32:14 +0200","011178678","","","178.195.218.129","330"
"446878","100401314","2019-07-13 18:34:36 +0200","053140976","","315902","85.0.225.249","380"
"446878","100401314","2019-07-13 18:34:36 +0200","058229394","","315902","85.0.225.249","380"
"446879","100401315","2019-07-13 18:36:37 +0200","065197741","","","194.230.159.230","370"
"446879","100401315","2019-07-13 18:36:37 +0200","142128977","","","194.230.159.230","370"
"446879","100401315","2019-07-13 18:36:37 +0200","055142971","","","194.230.159.230","370"
"446880","100401316","2019-07-13 18:41:04 +0200","171108076","","1143087","80.208.157.229","330"
"446880","100401316","2019-07-13 18:41:04 +0200","171108076","","1143087","80.208.157.229","340"
"446880","100401316","2019-07-13 18:41:04 +0200","171108078","","1143087","80.208.157.229","340"
"446880","100401316","2019-07-13 18:41:04 +0200","171108078","","1143087","80.208.157.229","350"
"446880","100401316","2019-07-13 18:41:04 +0200","171108671","","1143087","80.208.157.229","340"
"446880","100401316","2019-07-13 18:41:04 +0200","171108671","","1143087","80.208.157.229","350"
"446880","100401316","2019-07-13 18:41:04 +0200","171108776","","1143087","80.208.157.229","330"
"446880","100401316","2019-07-13 18:41:04 +0200","171108776","","1143087","80.208.157.229","340"
"446881","100401317","2019-07-13 18:45:15 +0200","148177331","","","194.230.132.160","380"
"446881","100401317","2019-07-13 18:45:15 +0200","148176891","","","194.230.132.160","380"
"446881","100401317","2019-07-13 18:45:15 +0200","148179091","","","194.230.132.160","380"
"446882","100401318","2019-07-13 18:56:54 +0200","014163994","","1143088","46.126.108.2","270"
"446882","100401318","2019-07-13 18:56:54 +0200","172106576","","1143088","46.126.108.2","280"
"446882","100401318","2019-07-13 18:56:54 +0200","172104876","","1143088","46.126.108.2","280"
"446882","100401318","2019-07-13 18:56:54 +0200","172104376","","1143088","46.126.108.2","270"
"446882","100401318","2019-07-13 18:56:54 +0200","172106276","","1143088","46.126.108.2","270"
"446882","100401318","2019-07-13 18:56:54 +0200","173100778","","1143088","46.126.108.2","240"
"446882","100401318","2019-07-13 18:56:54 +0200","173100778","","1143088","46.126.108.2","250"
"446883","100401319","2019-07-13 18:58:21 +0200","170107271","","","212.25.6.253","350"
"446883","100401319","2019-07-13 18:58:21 +0200","170107271","","","212.25.6.253","340"
"446885","100401321","2019-07-13 19:00:06 +0200","065200027","","1143089","217.162.66.234","390"
"446886","100401322","2019-07-13 19:02:54 +0200","166111292","","719141","5.149.43.66","380"
"446886","100401322","2019-07-13 19:02:54 +0200","166110991","","719141","5.149.43.66","380"
"446887","100401323","2019-07-13 19:13:39 +0200","170104577","","","178.197.226.165","340"
"446888","100401324","2019-07-13 19:16:06 +0200","024167922","","880611","92.107.118.235","450"
"446889","100401325","2019-07-13 19:18:32 +0200","088155174","","493515","31.10.138.43","390"
"446890","100401326","2019-07-13 19:51:30 +0200","087183771","","390341","5.145.94.1","420"
"446891","100401327","2019-07-13 20:08:20 +0200","014159994","","536977","178.195.12.164","290"
"446891","100401327","2019-07-13 20:08:20 +0200","170107373","","536977","178.195.12.164","340"
"446891","100401327","2019-07-13 20:08:20 +0200","170107373","","536977","178.195.12.164","350"
"446891","100401327","2019-07-13 20:08:20 +0200","170109678","","536977","178.195.12.164","340"
"446891","100401327","2019-07-13 20:08:20 +0200","170109678","","536977","178.195.12.164","350"
"446891","100401327","2019-07-13 20:08:20 +0200","172106278","","536977","178.195.12.164","290"
"446891","100401327","2019-07-13 20:08:20 +0200","172106278","","536977","178.195.12.164","300"
"446892","100401328","2019-07-13 20:24:17 +0200","058229198","","","178.197.228.17","410"
"446892","100401328","2019-07-13 20:24:17 +0200","088150978","","","178.197.228.17","420"
"446893","100401329","2019-07-13 20:30:01 +0200","035122878","","431938","188.61.116.122","410"
"446893","100401329","2019-07-13 20:30:01 +0200","069167670","","431938","188.61.116.122","410"
"446893","100401329","2019-07-13 20:30:01 +0200","069167670","","431938","188.61.116.122","360"
"446894","100401330","2019-07-13 20:39:04 +0200","014159994","","501432","176.127.230.231","340"
"446894","100401330","2019-07-13 20:39:04 +0200","014159994","","501432","176.127.230.231","290"
"446895","100401331","2019-07-13 20:53:15 +0200","176115576","","1142510","85.5.227.159","240"
"446895","100401331","2019-07-13 20:53:15 +0200","175120678","","1142510","85.5.227.159","310"
"446896","100401332","2019-07-13 20:55:52 +0200","148174276","","1143091","77.58.124.32","390"
"446896","100401332","2019-07-13 20:55:52 +0200","148174271","","1143091","77.58.124.32","390"
"446897","100401333","2019-07-13 20:58:24 +0200","170107473","","366289","194.230.198.104","360"
"446897","100401333","2019-07-13 20:58:24 +0200","011180477","","366289","194.230.198.104","390"
"446898","100401334","2019-07-13 21:19:09 +0200","169107571","","664815","85.2.130.59","350"
"446898","100401334","2019-07-13 21:19:09 +0200","162114978","","664815","85.2.130.59","350"
"446899","100401335","2019-07-13 21:24:18 +0200","088151071","","973424","31.10.150.161","430"
"446899","100401335","2019-07-13 21:24:18 +0200","166110374","","973424","31.10.150.161","390"
"446900","100401336","2019-07-13 21:27:25 +0200","166112474","","","178.197.228.120","400"
"446901","100401337","2019-07-13 21:36:08 +0200","166115678","","397287","87.102.248.152","380"
"446901","100401337","2019-07-13 21:36:08 +0200","068207538","","397287","87.102.248.152","380"
"446902","100401338","2019-07-13 21:48:47 +0200","018165172","","315088","83.76.87.159","370"
"446902","100401338","2019-07-13 21:48:47 +0200","018165278","","315088","83.76.87.159","370"
"446902","100401338","2019-07-13 21:48:47 +0200","018167368","","315088","83.76.87.159","370"
"446902","100401338","2019-07-13 21:48:47 +0200","018161678","","315088","83.76.87.159","370"
"446903","100401339","2019-07-13 22:27:30 +0200","068203890","","986264","188.60.27.217","390"
"446903","100401339","2019-07-13 22:27:30 +0200","065197542","","986264","188.60.27.217","390"
